commentCount,dislikeCount,likeCount,viewCount,commentators_uniq,comments_obscene_cnt,video_age,performer,title,music_style
37.0,18.0,761.0,56971.0,24.0,0.0,1009,2маши,ТЕПЕРЬ НАС ДВОЕ .. #2МАШИ,popsa
19.0,5.0,347.0,11873.0,14.0,0.0,811,2маши,Танцы на льду !!! ОСТОРОЖНО! Гололёд !,popsa
23.0,8.0,611.0,46873.0,15.0,1.0,1023,2маши,Тут тебя жду тебя я ..! #2Маши,popsa
60.0,20.0,1284.0,68059.0,43.0,0.0,1145,2маши,Тут тебя жду тебя я!!!!,popsa
5.0,10.0,141.0,28809.0,2.0,0.0,223,2маши,Этажи,popsa
6.0,37.0,210.0,40210.0,2.0,0.0,223,2маши,Я к тебе,popsa
,690.0,10532.0,2221419.0,,,3217,лазарев,"""ALARM"" СЕРГЕЙ ЛАЗАРЕВ ( SERGEY LAZAREV )",popsa
26.0,10.0,269.0,40327.0,23.0,0.0,3546,лазарев,"""EARTH SONG"" SERGEY LAZAREV. DEDICATED TO MICHAEL JACKSON ( Cover version)",popsa
12.0,7.0,163.0,11907.0,11.0,0.0,3189,лазарев,"""Earth song"" премия МУЗ-тВ 2010 (LIVE)",popsa
46.0,19.0,597.0,91483.0,33.0,1.0,3361,лазарев,"""FAKE"" СЕРГЕЙ ЛАЗАРЕВ (SERGEY)",popsa
7.0,7.0,87.0,9217.0,6.0,0.0,3179,лазарев,"""Feelin High"" Сергей Лазарев Sergey Lazarev live",popsa
88.0,69.0,1566.0,449891.0,63.0,1.0,4013,лазарев,"""Girlfriend"" Сергей Лазарев (SERGEY)",popsa
168.0,101.0,4091.0,763611.0,130.0,0.0,2948,лазарев,"""Heartbeat"" Сергей Лазарев (Sergey Lazarev)",popsa
422.0,229.0,4137.0,629212.0,223.0,6.0,3765,лазарев,"""LAZERBOY"" Сергей Лазарев (SERGEY) feat. TИМАТИ (Timati)",popsa
5.0,4.0,141.0,35902.0,5.0,1.0,3608,лазарев,"""LAZERBOY""( Michael Yousher videoremix) Сергей Лазарев (SERGEY) и ТИМАТИ",popsa
189.0,102.0,2599.0,582159.0,119.0,4.0,3308,лазарев,"""Lost without your love"" Сергей Лазарев (SERGEY)",popsa
30.0,10.0,541.0,117765.0,26.0,1.0,3522,лазарев,"""STEREO"" (LIVE) Сергей Лазарев (SERGEY)",popsa
57.0,28.0,961.0,109955.0,35.0,1.0,3603,лазарев,"""Shattered dreams"" Сергей Лазарев (SERGEY)",popsa
627.0,157.0,3714.0,634676.0,277.0,7.0,4189,лазарев,"""Tv or radio"" Сергей Лазарев (SERGEY)",popsa
156.0,96.0,2203.0,165878.0,101.0,0.0,1056,лазарев,"""You Are The Only One"" - Sergey Lazarev /MadWalk Fashion Music Show",popsa
,111.0,2484.0,508228.0,,,3418,лазарев,"""НАЙДИ МЕНЯ"" Сергей Лазарев (SERGEY)",popsa
127.0,33.0,1429.0,46357.0,73.0,1.0,522,лазарев,"""Честное слово с Юрием Николаевым"". Гость Сергей Лазарев. Выпуск от 08.10.2017",popsa
2.0,1.0,32.0,1952.0,1.0,0.0,1294,лазарев,7 Wonders,popsa
33.0,18.0,798.0,43908.0,26.0,0.0,1312,лазарев,"7 цифр. Закрытие чемпионата мира. Казань, 09.08.2015",popsa
7.0,7.0,88.0,8860.0,,,777,лазарев,Alcosong,popsa
0.0,1.0,11.0,933.0,,,1514,лазарев,Beautiful,popsa
0.0,1.0,0.0,441.0,,,753,лазарев,Breakthrough,popsa
0.0,1.0,6.0,722.0,,,1514,лазарев,Can't Let You Go (Earphones Mix),popsa
0.0,0.0,3.0,334.0,,,1514,лазарев,Curiosity,popsa
1433.0,1038.0,39550.0,1303143.0,932.0,16.0,2037,лазарев,"CЕРГЕЙ ЛАЗАРЕВ ""ЯИЧКО ВСМЯТКУ"" (СПЕЦИАЛЬНО ДЛЯ ""ВЕЧЕРНЕГО УРГАНТА""",popsa
136.0,158.0,2016.0,69988.0,93.0,2.0,380,лазарев,"DVOE - ""Падали"" (Official Video)",popsa
0.0,0.0,6.0,162.0,,,777,лазарев,Davay Tantcevat,popsa
0.0,32.0,140.0,12308.0,,,455,лазарев,Davay rasstanemsya,popsa
1.0,2.0,56.0,4386.0,1.0,0.0,348,лазарев,Deep blue,popsa
0.0,1.0,9.0,339.0,578.0,0.0,1514,лазарев,Desire,popsa
0.0,0.0,2.0,107.0,,,237,лазарев,Dlyu Etoy Muziki Mig Repriza,popsa
0.0,1.0,7.0,543.0,,,1514,лазарев,Do It for Me,popsa
0.0,1.0,10.0,528.0,,,1514,лазарев,Do Me Right,popsa
1.0,13.0,74.0,7980.0,1.0,0.0,455,лазарев,Doigralis,popsa
325.0,158.0,2918.0,261945.0,200.0,1.0,1190,лазарев,EUROVISION 2016 СЕРГЕЙ ЛАЗАРЕВ,popsa
2.0,4.0,65.0,6381.0,2.0,0.0,348,лазарев,Eat you up,popsa
1.0,7.0,19.0,953.0,1.0,0.0,1514,лазарев,Emotions,popsa
0.0,0.0,3.0,91.0,,,777,лазарев,Etot Den,popsa
415.0,523.0,3036.0,287287.0,142.0,9.0,1108,лазарев,Eurovision 2016 Russia,popsa
5.0,9.0,194.0,41996.0,5.0,0.0,3280,лазарев,Fake (Gay Club Video Remix) Сергей Лазарев (SERGEY),popsa
4.0,6.0,72.0,4557.0,2.0,0.0,348,лазарев,Flying,popsa
1.0,1.0,26.0,3160.0,,,348,лазарев,Freaky tonight,popsa
2.0,4.0,59.0,6102.0,2.0,0.0,348,лазарев,Going under,popsa
4.0,26.0,145.0,6101.0,3.0,0.0,1237,лазарев,Hard to Love,popsa
0.0,1.0,8.0,378.0,,,1514,лазарев,He Said She Said,popsa
0.0,1.0,10.0,1123.0,,,1294,лазарев,I Need Love,popsa
0.0,1.0,15.0,849.0,,,1514,лазарев,I'm Gone,popsa
0.0,0.0,3.0,126.0,,,777,лазарев,Idi Dorogoy Svoey,popsa
3.0,4.0,82.0,5638.0,1.0,0.0,1237,лазарев,In My Lonely Life,popsa
0.0,1.0,4.0,284.0,,,777,лазарев,Jizn Svou Tebe Daru,popsa
0.0,0.0,9.0,927.0,,,1255,лазарев,Keep Your Mouth Shut,popsa
0.0,2.0,7.0,225.0,,,237,лазарев,Krik,popsa
54.0,54.0,1001.0,53531.0,41.0,1.0,1219,лазарев,LazerBond (show­ teaser),popsa
3.0,1.0,49.0,5449.0,1.0,0.0,1255,лазарев,Make You Say,popsa
0.0,1.0,3.0,167.0,,,778,лазарев,Mi Snova Zdes,popsa
0.0,0.0,15.0,1310.0,,,1514,лазарев,Money on Love,popsa
0.0,2.0,40.0,1730.0,,,1294,лазарев,Moscow to California,popsa
0.0,2.0,17.0,1708.0,,,1514,лазарев,Music Under My Skin,popsa
0.0,0.0,3.0,127.0,,,777,лазарев,Nash Mir,popsa
1.0,2.0,17.0,725.0,,,777,лазарев,Nash Zvezdniy Chas,popsa
0.0,3.0,3.0,347.0,,,777,лазарев,Naverh V Oblaka,popsa
0.0,1.0,3.0,95.0,,,237,лазарев,Ne Zevaem - Ne Spim!,popsa
0.0,0.0,12.0,896.0,,,1514,лазарев,Nobody Told Me,popsa
1.0,2.0,29.0,2710.0,1.0,0.0,348,лазарев,Not worth it anymore,popsa
3.0,3.0,51.0,4198.0,2.0,0.0,348,лазарев,On the other side,popsa
2.0,12.0,88.0,7547.0,2.0,0.0,455,лазарев,Ostrov,popsa
0.0,0.0,14.0,784.0,,,789,лазарев,Otpuskayu,popsa
29.0,101.0,744.0,40594.0,15.0,0.0,98,лазарев,"P'yanym, chem obmanutym",popsa
1.0,118.0,357.0,42205.0,1.0,0.0,294,лазарев,Paparazzi,popsa
34.0,32.0,659.0,44249.0,27.0,1.0,1214,лазарев,Pro-новости 16.11.15. О сольном концерте Сергея Лазарева в Москве,popsa
75.0,12.0,640.0,15376.0,55.0,0.0,345,лазарев,Pro-новости Муз 2018.04.02. Сергею Лазареву - 35,popsa
0.0,0.0,9.0,369.0,,,1514,лазарев,Rebound,popsa
0.0,0.0,0.0,150.0,,,777,лазарев,"Ruka K Ruke, Drujnee",popsa
,137.0,1370.0,251184.0,,,2446,лазарев,"SERGEY LAZAREV "" TAKE IT OFF "" NEW SONG 2012 (СЕРГЕЙ ЛАЗАРЕВ)",popsa
,14.0,643.0,57647.0,,,2425,лазарев,"SERGEY LAZAREV ""Take It Off"" making of the video (OFFICIAL)",popsa
144.0,34.0,1113.0,163921.0,100.0,3.0,4243,лазарев,"Sergey Lazarev Сергей Лазарев ""EARTH SONG""",popsa
17.0,12.0,296.0,49381.0,15.0,0.0,3089,лазарев,"Sergey Lazarev ""LAZERBOY"" LIVE ( St.Petersburg) Сергей Лазарев",popsa
7.0,2.0,103.0,14227.0,5.0,0.0,4243,лазарев,"Sergey Lazarev Сергей Лазарев ""Ponaroshku""",popsa
207.0,59.0,1830.0,96132.0,105.0,3.0,987,лазарев,Sergey Lazarev & Helena Paparizou - You Are The Only One (Mad Video Music Awards 2016,popsa
52.0,21.0,758.0,177409.0,40.0,0.0,3811,лазарев,Sergey Lazarev - Almost Sorry ( Сергей Лазарев ),popsa
1767.0,579.0,21269.0,1601521.0,913.0,9.0,969,лазарев,Sergey Lazarev - Breaking Away (Official Video),popsa
814.0,489.0,11860.0,1712122.0,550.0,25.0,2216,лазарев,Sergey Lazarev - Cure The Thunder ft. T-Pain,popsa
161.0,41.0,2873.0,333404.0,101.0,1.0,3018,лазарев,Sergey Lazarev - Instantly,popsa
16956.0,19087.0,99666.0,3499975.0,,,5,лазарев,Sergey Lazarev - Scream - Eurovision 2019 ( Russia ),popsa
386.0,269.0,6023.0,922630.0,233.0,2.0,1981,лазарев,Sergey Lazarev - Stumblin',popsa
106.0,55.0,1384.0,106441.0,72.0,1.0,496,лазарев,Sergey Lazarev - Vdrebezgi (Pseudo Video),popsa
1759.0,28853.0,201703.0,25971056.0,951.0,2.0,1104,лазарев,Sergey Lazarev - You are the only one (Eurovision 2016 Russia),popsa
250.0,100.0,4348.0,225178.0,164.0,1.0,1095,лазарев,Sergey Lazarev - You are the only one / THE MAKING OF (Eurovision 2016 Russia),popsa
69.0,10.0,779.0,60151.0,50.0,0.0,2099,лазарев,Sergey Lazarev feat T-Pain Cure the thunder MAKING OF the video,popsa
5.0,1.0,67.0,12189.0,4.0,0.0,3861,лазарев,"Sergey Lazarev Сергей Лазарев ""FLYER"" Новая волна 2008 диско",popsa
1.0,0.0,66.0,7343.0,1.0,0.0,4221,лазарев,"Sergey Lazarev Сергей Лазарев ""Fake""",popsa
77.0,22.0,640.0,240528.0,52.0,1.0,3869,лазарев,"Sergey Lazarev Сергей Лазарев ""I love to hate you""",popsa
6.0,1.0,43.0,4103.0,3.0,0.0,4035,лазарев,"Sergey Lazarev Сергей Лазарев ""Shattered dreams""",popsa
1.0,0.0,45.0,4195.0,1.0,0.0,4012,лазарев,"Sergey Lazarev Сергей Лазарев ""Shattered dreams"" 1St Channel",popsa
13.0,3.0,135.0,33784.0,9.0,0.0,4241,лазарев,"Sergey Lazarev Сергей Лазарев ""Shattered dreams"" ВЫПУСКНОЙ",popsa
11.0,0.0,72.0,12398.0,9.0,0.0,4035,лазарев,"Sergey Lazarev Сергей Лазарев ""Tv or Radio"" LIVE",popsa
85.0,66.0,1752.0,840346.0,70.0,4.0,4241,лазарев,"Sergey Lazarev Сергей Лазарев""Даже если ты уйдешь""",popsa
543.0,248.0,4184.0,330179.0,285.0,2.0,1059,лазарев,Sergey Lazarev “You Are The Only One” LIVE @ The Late Night Show with Ivan Ivanovic,popsa
191.0,36.0,1959.0,80170.0,123.0,2.0,1038,лазарев,Sergey Lazarev's Birthday party ! 33 ! in Moscow,popsa
174.0,44.0,1497.0,67654.0,102.0,0.0,1039,лазарев,Sergey Lazarev.Press Conference in Moscow.Russian Pre-Party Eurovision 2016,popsa
0.0,7.0,23.0,1550.0,,,1514,лазарев,Sexy Automatic,popsa
0.0,2.0,2.0,100.0,,,778,лазарев,Seychas Ili Nikogda,popsa
0.0,2.0,14.0,851.0,,,1514,лазарев,Shattered Dreams,popsa
0.0,1.0,12.0,858.0,,,1514,лазарев,She Is,popsa
0.0,1.0,12.0,878.0,,,1514,лазарев,She Said,popsa
0.0,0.0,9.0,442.0,,,1514,лазарев,Shiver,popsa
90.0,31.0,1251.0,47921.0,66.0,0.0,901,лазарев,"Show ""THE BEST"" Moscow. November 24, 2016 . Crocus City Hall. ( teaser)",popsa
0.0,2.0,13.0,1054.0,,,1514,лазарев,Slow Mo,popsa
365.0,125.0,3847.0,825596.0,216.0,4.0,3130,лазарев,Smash!! Belle Новая Волна 2002,popsa
0.0,0.0,6.0,562.0,,,1514,лазарев,Someone Like You,popsa
0.0,123.0,277.0,42323.0,,,238,лазарев,Stand by me (Denis First & Reznikov Remix),popsa
0.0,1.0,16.0,831.0,,,1255,лазарев,Storm,popsa
0.0,1.0,3.0,229.0,,,1514,лазарев,That's Where I'll Belong (Slow Version),popsa
1.0,2.0,14.0,1087.0,,,1514,лазарев,The Flyer,popsa
0.0,2.0,13.0,1464.0,,,1255,лазарев,Under the Moon,popsa
4.0,24.0,143.0,12797.0,3.0,0.0,455,лазарев,V Epitsentre,popsa
0.0,0.0,15.0,399.0,,,237,лазарев,Veryu Ya,popsa
0.0,2.0,1.0,68.0,,,777,лазарев,Vipusknoy Vesenniy Muzikl (Medley),popsa
1.0,1.0,2.0,72.0,1.0,0.0,777,лазарев,Vsego Polshaga (Repriza),popsa
2.0,1.0,23.0,1359.0,2.0,0.0,1294,лазарев,Warrior,popsa
